Month,Nephritis: (United States),Kidney disease: (United States),Nephrosis: (United States),Nephrotic syndrome: (United States),Control: (United States)
2018-09,<1,2,<1,<1,72
2018-10,<1,3,<1,<1,72
2018-11,<1,3,<1,<1,69
2018-12,<1,2,<1,<1,66
2019-01,<1,3,<1,<1,67
2019-02,<1,3,<1,<1,70
2019-03,<1,3,<1,<1,70
2019-04,<1,3,<1,<1,68
2019-05,<1,3,<1,<1,69
2019-06,<1,3,<1,<1,72
2019-07,<1,3,<1,<1,73
2019-08,<1,3,<1,<1,77
2019-09,<1,3,<1,<1,73
2019-10,<1,3,<1,<1,70
2019-11,<1,3,<1,<1,67
2019-12,<1,3,<1,<1,69
2020-01,<1,3,<1,<1,70
2020-02,<1,3,<1,<1,68
2020-03,<1,3,<1,<1,65
2020-04,<1,2,<1,<1,70
2020-05,<1,2,<1,<1,83
2020-06,<1,3,<1,<1,78
2020-07,<1,3,<1,<1,77
2020-08,<1,3,0,<1,72
2020-09,<1,3,<1,<1,76
2020-10,<1,3,<1,<1,79
2020-11,<1,3,<1,<1,69
2020-12,<1,3,<1,<1,68
2021-01,<1,3,<1,<1,68
2021-02,<1,3,<1,<1,75
2021-03,<1,3,<1,<1,74
2021-04,<1,3,<1,<1,74
2021-05,<1,3,<1,<1,76
2021-06,<1,3,<1,<1,75
2021-07,<1,3,<1,<1,71
2021-08,<1,3,<1,<1,69
2021-09,<1,3,<1,<1,70
2021-10,<1,3,<1,<1,69
2021-11,<1,3,<1,<1,70
2021-12,<1,3,<1,<1,66
2022-01,<1,3,<1,<1,72
2022-02,<1,4,<1,<1,77
2022-03,<1,4,<1,<1,79
2022-04,<1,4,<1,<1,79
2022-05,<1,3,<1,<1,77
2022-06,<1,4,<1,<1,82
2022-07,<1,4,<1,<1,77
2022-08,<1,4,<1,<1,74
2022-09,<1,3,<1,<1,77
2022-10,<1,3,<1,<1,73
