Month,Poisoning: (United States),Accident: (United States),Traffic collision: (United States),Falling: (United States),Control: (United States)
2021-07,4,37,27,1,71
2021-08,4,35,27,1,69
2021-09,4,34,25,2,70
2021-10,4,33,24,2,69
2021-11,4,37,27,1,70
2021-12,5,35,27,1,66
2022-01,5,33,25,1,72
2022-02,6,34,25,2,77
2022-03,6,36,27,2,79
2022-04,5,35,25,2,79
2022-05,5,35,26,1,77
2022-06,5,36,27,1,82
2022-07,5,37,27,1,77
2022-08,4,47,35,2,74
2022-09,4,39,27,2,77
2022-10,4,35,27,2,74
