Month,Stroke,Diabetes,Cancer,Suicide,Control: (United States)
2021-08,10,22,55,13,69
2021-09,10,22,57,14,70
2021-10,9,22,63,13,69
2021-11,10,23,54,13,70
2021-12,9,20,50,13,66
2022-01,10,24,52,14,72
2022-02,11,24,57,15,77
2022-03,11,26,59,14,79
2022-04,12,24,58,15,79
2022-05,11,23,58,16,77
2022-06,11,24,60,13,82
2022-07,10,23,58,13,77
2022-08,10,25,54,12,74
2022-09,11,23,58,15,77
2022-10,11,24,65,14,73
