,State,Alzheimers,CLRD,Cancer,Diabetes,Heart,Flu,Kidney,Stroke,Suicide,Accident
23,Minnesota,2.6999999999999993,-7.800000000000001,23.599999999999994,20.4,-32.800000000000004,70.10000000000001,-0.8999999999999995,-2.0,18.6,80.0
24,Mississippi,-2.1999999999999993,-13.599999999999998,15.200000000000003,22.8,-80.5,63.5,-4.1,-8.2,15.6,61.199999999999996
25,Missouri,0.40000000000000036,-13.700000000000001,12.5,19.7,-64.19999999999999,62.1,-2.3,-5.5,17.4,69.6
26,Montana,2.5,-14.500000000000002,15.799999999999997,17.1,-47.6,65.10000000000001,-0.2999999999999998,-2.9000000000000004,16.8,65.0
27,Nebraska,2.5999999999999996,-11.7,24.5,19.3,-45.4,74.6,-0.7999999999999998,-5.399999999999999,18.799999999999997,69.6
28,Nevada,6.0,-15.799999999999999,17.099999999999994,22.2,-66.30000000000001,69.9,-2.8,-2.8000000000000007,15.7,67.0
29,New Hampshire,2.0999999999999996,-12.200000000000001,21.799999999999997,20.4,-47.2,69.89999999999999,-0.7000000000000002,-0.5,20.200000000000003,70.8
30,New Jersey,7.3999999999999995,-7.199999999999999,30.19999999999999,19.6,-55.50000000000001,71.7,-1.0999999999999996,-0.9000000000000004,17.9,72.1
31,New Mexico,7.199999999999999,-11.6,34.1,16.8,-43.3,76.7,-1.2999999999999998,-1.9000000000000004,12.7,65.7
32,New York,9.2,-6.0,30.1,29.700000000000003,-59.5,67.39999999999999,2.0,5.0,17.8,80.9
33,North Carolina,-2.1999999999999993,-11.9,8.200000000000003,18.9,-55.9,61.099999999999994,-3.2,-6.400000000000002,23.1,78.1
34,North Dakota,-3.1999999999999993,-8.5,20.0,18.8,-48.1,63.3,-1.8000000000000003,-3.0,17.2,74.0
35,Ohio,2.0999999999999996,-13.299999999999999,9.200000000000003,17.5,-63.199999999999996,71.8,-2.0,-4.800000000000001,20.8,69.6
36,Oklahoma,1.0,-18.4,12.899999999999991,16.4,-77.30000000000001,61.9,-0.7999999999999998,-7.100000000000001,16.5,64.5
37,Oregon,-0.6999999999999993,-11.000000000000002,22.400000000000006,22.0,-36.9,67.8,1.7000000000000002,-0.9000000000000004,16.7,77.9
38,Pennsylvania,5.6000000000000005,-7.7,23.0,23.2,-58.199999999999996,74.4,-1.8999999999999995,-3.700000000000001,15.799999999999999,78.3
39,Rhode Island,4.4,-7.000000000000001,21.599999999999994,21.1,-52.9,75.7,-0.7999999999999998,0.0,19.3,83.5
40,South Carolina,-2.0,-11.099999999999998,16.0,24.8,-57.4,68.30000000000001,-3.2,-7.600000000000001,20.3,70.1
41,South Dakota,0.0,-11.200000000000001,21.89999999999999,22.2,-49.0,72.5,0.9000000000000004,-3.6000000000000014,16.5,69.1
42,Tennessee,-4.0,-14.500000000000002,20.099999999999994,17.9,-69.39999999999999,64.3,-0.39999999999999947,-7.600000000000001,17.4,67.7
43,Texas,3.1999999999999993,-9.099999999999998,29.1,22.5,-55.300000000000004,70.8,-2.5999999999999996,-8.0,18.7,83.5
44,Utah,2.1999999999999993,-5.500000000000001,44.599999999999994,18.1,-41.400000000000006,70.1,-0.1999999999999993,-3.200000000000001,18.200000000000003,79.5
45,Vermont,1.0999999999999996,-11.700000000000001,28.19999999999999,23.4,-45.8,76.7,2.7,-1.3000000000000007,17.299999999999997,66.1
46,Virginia,5.4,-7.500000000000001,25.900000000000006,23.799999999999997,-49.9,73.9,-2.3,-4.699999999999999,18.5,79.60000000000001
47,Washington,-0.7000000000000011,-8.899999999999999,30.099999999999994,22.799999999999997,-41.2,78.60000000000001,2.3000000000000003,-3.200000000000001,20.1,83.2
48,West Virginia,3.200000000000001,-17.0,16.0,12.500000000000002,-68.5,74.0,-4.2,-6.0,21.8,60.8
49,Wisconsin,3.5999999999999996,-7.8999999999999995,33.599999999999994,20.6,-48.199999999999996,69.69999999999999,-0.7999999999999998,-3.0,18.1,76.2
50,Wyoming,3.9000000000000004,-16.5,25.39999999999999,26.3,-48.99999999999999,67.69999999999999,0.3000000000000007,-2.5,16.8,62.900000000000006
